Date,Platform,Post Title,Content Type,Topic,Impressions,Reach,Likes,Comments,Shares,Saves,Clicks,Followers,Total Engagement,Engagement Rate (%)
2025-11-01,Instagram,Trailer Post 1,Trailer,Hiring,16024,9707,1858,46,101,74,452,18484,2079,21.42
2025-11-04,Instagram,Trailer Post 2,Trailer,Game Development,15623,10566,404,70,106,244,245,18521,824,7.8
2025-11-07,ArtStation,Cinematic Post 3,Cinematic,Studio Updates,7716,6184,512,24,19,59,240,5377,614,9.93
2025-11-10,ArtStation,Trailer Post 4,Trailer,Studio Updates,4612,2878,432,19,4,137,569,5372,592,20.57
2025-11-13,LinkedIn,Trailer Post 5,Trailer,Marketing,6803,4812,693,60,26,9,216,4170,788,16.38
2025-11-16,Instagram,Trailer Post 6,Trailer,Game Development,17482,13921,2101,79,27,224,304,18559,2431,17.46
2025-11-19,ArtStation,Behind the Scenes Post 7,Behind the Scenes,Hiring,4410,2876,353,7,12,156,270,5372,528,18.36
2025-11-22,LinkedIn,Announcement Post 8,Announcement,Hiring,11125,6173,392,58,6,3,52,4253,459,7.44
2025-11-25,ArtStation,Announcement Post 9,Announcement,Hiring,2042,1332,402,16,33,121,489,5370,572,42.94
2025-11-28,ArtStation,Behind the Scenes Post 10,Behind the Scenes,Game Development,7602,5628,349,40,29,169,428,5396,587,10.43
2025-12-01,X,Behind the Scenes Post 11,Behind the Scenes,Marketing,13085,6185,148,19,29,20,183,12481,216,3.49
2025-12-04,LinkedIn,Recruitment Post 12,Recruitment,Studio Updates,8304,4944,539,38,19,8,31,4320,604,12.22
2025-12-07,Instagram,Gameplay Post 13,Gameplay,Marketing,16743,12425,1046,48,52,252,181,18597,1398,11.25
2025-12-10,Instagram,Gameplay Post 14,Gameplay,Hiring,24403,18070,1389,47,95,182,539,18654,1713,9.48
2025-12-13,X,Behind the Scenes Post 15,Behind the Scenes,Hiring,17492,8577,897,5,86,10,520,12463,998,11.64
2025-12-16,Instagram,Artwork Post 16,Artwork,Hiring,15846,8944,2148,40,25,278,90,18731,2491,27.85
2025-12-19,X,Behind the Scenes Post 17,Behind the Scenes,Community,14007,6881,640,59,37,17,225,12534,753,10.94
2025-12-22,ArtStation,Announcement Post 18,Announcement,Hiring,5088,4197,542,10,17,77,85,5419,646,15.39
2025-12-25,Instagram,Recruitment Post 19,Recruitment,Marketing,15540,10833,364,38,105,60,254,18719,567,5.23
2025-12-28,Instagram,Cinematic Post 20,Cinematic,Hiring,10321,7003,920,144,42,97,504,18730,1203,17.18
2025-12-31,LinkedIn,Cinematic Post 21,Cinematic,Community,5119,2680,501,27,30,6,498,4410,564,21.04
2026-01-03,Instagram,Gameplay Post 22,Gameplay,Studio Updates,9986,6497,1044,47,46,128,214,18778,1265,19.47
2026-01-06,LinkedIn,Behind the Scenes Post 23,Behind the Scenes,Community,5006,2851,315,60,7,7,583,4402,389,13.64
2026-01-09,Instagram,Gameplay Post 24,Gameplay,Marketing,8483,6720,1893,80,36,238,517,18819,2247,33.44
2026-01-12,X,Cinematic Post 25,Cinematic,Community,5960,2927,102,54,43,14,312,12568,213,7.28
2026-01-15,LinkedIn,Behind the Scenes Post 26,Behind the Scenes,Game Development,6861,3803,119,42,50,8,82,4477,219,5.76
2026-01-18,ArtStation,Trailer Post 27,Trailer,Studio Updates,6285,4520,623,13,5,150,102,5507,791,17.5
2026-01-21,X,Trailer Post 28,Trailer,Marketing,6113,3782,340,56,25,18,272,12622,439,11.61
2026-01-24,Instagram,Recruitment Post 29,Recruitment,Studio Updates,21737,15527,1507,153,55,163,229,18884,1878,12.1
2026-01-27,ArtStation,Behind the Scenes Post 30,Behind the Scenes,Hiring,4742,3000,387,32,22,38,29,5545,479,15.97
2026-01-30,Instagram,Trailer Post 31,Trailer,Marketing,14984,10136,621,109,23,155,398,18900,908,8.96
2026-02-02,X,Announcement Post 32,Announcement,Marketing,16526,8686,769,6,80,9,126,12619,864,9.95
2026-02-05,ArtStation,Trailer Post 33,Trailer,Studio Updates,7581,5597,358,21,15,107,228,5612,501,8.95
